"Population by age, sex and year"

"age" "sex" "1860" "1861" "1862" "1863" "1864" "1865" "1866" "1867" "1868" "1869" "1870" "1871" "1872" "1873" "1874" "1875" "1876" "1877" "1878" "1879" "1880" "1881" "1882" "1883" "1884" "1885" "1886" "1887" "1888" "1889" "1890" "1891" "1892" "1893" "1894" "1895" "1896" "1897" "1898" "1899" "1900" "1901" "1902" "1903" "1904" "1905" "1906" "1907" "1908" "1909" "1910" "1911" "1912" "1913" "1914" "1915" "1916" "1917" "1918" "1919" "1920" "1921" "1922" "1923" "1924" "1925" "1926" "1927" "1928" "1929" "1930" "1931" "1932" "1933" "1934" "1935" "1936" "1937" "1938" "1939" "1940" "1941" "1942" "1943" "1944" "1945" "1946" "1947" "1948" "1949" "1950" "1951" "1952" "1953" "1954" "1955" "1956" "1957" "1958" "1959" "1960" "1961" "1962" "1963" "1964" "1965" "1966" "1967" "1968" "1969" "1970" "1971" "1972" "1973" "1974" "1975" "1976" "1977" "1978" "1979" "1980" "1981" "1982" "1983" "1984" "1985" "1986" "1987" "1988" "1989" "1990" "1991" "1992" "1993" "1994" "1995" "1996" "1997" "1998" "1999" "2000" "2001" "2002" "2003" "2004" "2005" "2006" "2007" "2008" "2009" "2010" "2011" "2012" "2013" "2014" "2015" "2016" "2017" "2018" "2019" "2020"
"5 years" "men" 42801 42802 44686 49123 50316 50456 47077 50261 51786 51778 50440 51429 47322 41629 45914 47412 51411 49970 51104 50671 51472 51464 53154 51270 53689 51697 52851 53379 53441 56282 55598 56428 57128 55496 53447 53764 56382 54674 56716 56209 57506 56783 57326 57987 56374 58078 59963 59625 59006 60138 59802 60881 61297 61971 63112 60563 60737 60694 59706 58431 55570 55593 55477 54074 53510 63598 59475 54347 53282 51150 50114 47896 46131 46039 43999 44230 43381 42741 40770 40734 41476 42804 43751 45465 47234 46841 49058 56844 62215 66535 66968 66373 64513 63057 60737 58235 55419 55634 55737 53262 54376 55172 53949 53576 53640 52020 53507 54913 58126 62940 63484 63446 62620 58061 55418 55846 58415 57900 56701 57204 53737 51051 49726 47899 49453 50055 48540 48558 48351 49696 52256 54019 54942 59316 61506 65071 64814 63391 60020 57477 53464 49297 47404 47322 46626 48036 48506 50809 52819 54261 54366 56802 57661 59012 60375 62686 61241 62742 63087 64161 63701
"5 years" "women" 42032 42498 44332 48747 49372 49487 46941 49557 50815 51200 50082 50436 46143 41285 45211 46050 50249 48419 50044 49659 50415 50334 52042 50147 52715 50993 51152 52076 51960 54862 54116 55101 55809 54302 52648 52921 54853 53247 54354 54708 55624 55304 54859 55831 54723 56726 57835 58229 57221 57477 58400 58511 58910 59577 60351 57823 58282 58600 57142 56503 53721 53477 53436 51980 51164 61058 57294 52441 50839 49452 48152 46234 44482 44608 42359 43110 41790 41328 39055 39056 39362 41331 41846 43731 45504 44840 47108 54290 59625 62963 63251 63024 61353 60414 57657 54629 52328 52542 52500 50404 51486 51379 51624 50509 50218 49772 50723 52205 54705 60116 60160 59967 59153 55384 52234 53400 55440 55013 54127 54506 51416 48620 47038 45780 47188 47732 46510 45878 45559 46977 49309 51246 52717 55855 58236 61829 61010 60033 57483 55150 50619 47291 44976 44446 44514 45300 45947 48602 50307 51321 51764 53828 54410 55491 57024 59253 58092 59279 59388 60408 59442
"6 years" "men" 44721 42401 42154 44056 48450 49582 49747 46571 49525 50597 50355 49871 50969 46856 41089 45429 46910 50683 49259 50458 49061 50479 50485 52294 50545 53026 51051 52145 52707 52886 55242 54889 55708 56360 54979 53043 53396 56042 54359 56314 55840 57100 56414 56937 57600 56009 57762 59659 59373 58776 59674 59519 60583 61035 61731 62891 60415 60508 60317 59480 58064 55408 55465 55278 53941 53347 63464 59309 54209 53169 51127 50113 47864 46021 45976 44023 44177 43318 42694 40735 40756 41452 42750 43728 45471 47329 46740 49189 56982 62184 66515 66832 66372 64402 63024 60765 58257 55534 55615 55695 53215 54429 55205 53957 53716 53800 52155 53478 54884 58480 63193 63384 63222 62423 58051 55448 55972 58571 57866 56745 57159 53691 50988 49694 47910 49492 50217 48760 48804 48723 50039 52570 54222 55299 59994 61600 65063 64866 63472 60109 57625 53704 49544 47587 47510 46782 48509 48946 51221 53193 54549 54614 57207 58259 59709 61064 63718 62154 63441 63519 64238
"6 years" "women" 44463 41635 41833 43709 48114 48688 48872 46509 48857 49741 50124 49525 49985 45723 40810 44705 45512 49561 47732 49395 48190 49584 49380 51246 49492 52056 50391 50490 51486 51436 53768 53477 54475 55096 53859 52268 52563 54496 52964 53959 54207 55216 54915 54446 55518 54360 56454 57559 58026 56994 57052 58108 58264 58642 59382 60155 57669 58102 58271 56925 56128 53539 53335 53247 51855 50995 60967 57154 52313 50737 49458 48034 46201 44365 44563 42408 43058 41739 41305 39046 39058 39339 41306 41827 43741 45647 44865 47316 54435 59638 63107 63141 63052 61299 60389 57707 54634 52437 52571 52464 50394 51522 51410 51645 50595 50410 49888 50748 52217 55080 60390 60161 59762 58961 55374 52307 53572 55565 55021 54096 54498 51371 48547 47004 45801 47263 47821 46692 46150 45974 47295 49552 51441 53053 56544 58325 61836 61029 60108 57586 55297 50810 47531 45187 44633 44601 45688 46305 48980 50719 51557 52021 54185 55037 56106 57748 60258 58916 60056 59816 60529
"7 years" "men" 40414 44405 41893 41710 43568 47872 48994 49336 45957 48567 50036 49861 49481 50531 46371 40688 45074 46365 50100 48714 48902 48237 49681 49758 51709 49964 52486 50439 51596 52220 52551 54611 54271 55093 55880 54627 52715 53125 55759 53994 55982 55504 56733 56044 56654 57284 55728 57485 59445 59166 58329 59409 59264 60329 60837 61529 62778 60238 60157 60104 58987 57920 55279 55291 55167 53765 53276 63309 59194 54116 53116 51036 50070 47742 45962 46069 43961 44107 43268 42672 40736 40737 41411 42727 43732 45544 47435 47215 49402 56922 62204 66563 66835 66272 64371 63078 60793 58356 55556 55571 55682 53209 54427 55222 54062 53855 53919 52153 53662 55180 58753 63095 63157 62973 62331 58113 55518 56044 58561 57807 56620 57070 53566 50927 49725 47921 49566 50369 49042 49162 49065 50313 52725 54543 55970 60069 61649 65166 64955 63588 60277 57797 53918 49748 47765 47628 47110 48864 49360 51641 53547 54836 55017 57858 58891 60445 62065 64652 62905 63972 63679
"7 years" "women" 40179 44135 41115 41366 43251 47601 48164 48486 45919 47977 48988 49660 49121 49596 45285 40405 44328 44978 48999 47187 47933 47458 48722 48673 50686 48977 51537 49819 49987 51009 50952 53219 52916 53851 54686 53485 51987 52267 54214 52620 53676 53894 54901 54539 54165 55244 54132 56217 57344 57824 56511 56782 57871 58034 58449 59197 60046 57519 57757 58068 56587 55971 53437 53161 53122 51735 50942 60841 57036 52236 50760 49334 48005 46119 44340 44622 42370 43025 41715 41287 39008 39033 39324 41295 41858 43833 45758 45237 47558 54402 59720 62980 63160 63021 61259 60458 57735 54719 52462 52553 52462 50444 51522 51403 51748 50735 50530 49915 50825 52502 55374 60350 59935 59575 58924 55457 52398 53688 55573 55023 54112 54407 51304 48473 47036 45811 47368 47942 46906 46531 46311 47561 49728 51779 53722 56620 58338 61900 61137 60189 57776 55534 51001 47750 45344 44781 44906 46055 46707 49372 50945 51811 52405 54800 55641 56851 58604 61077 59582 60569 60012
"8 years" "men" 37861 40154 43972 41512 41339 43141 47439 48629 48803 45148 47726 49605 49500 49094 50089 45987 40396 44657 45883 49613 47554 48208 47540 49065 49291 51230 49505 51894 49953 51110 51459 52061 54088 53725 54670 55581 54320 52485 52862 55441 53890 55696 55204 56380 55756 56366 57012 55472 57309 59227 58775 58076 59210 59047 60153 60649 61401 62585 59951 59993 59813 58811 57795 55109 55159 54992 53693 53164 63163 59080 54003 53004 50993 49971 47687 45937 46001 43901 44072 43239 42632 40706 40709 41375 42756 43819 45638 47729 47459 49411 57003 62219 66548 66746 66251 64404 63131 60846 58379 55526 55513 55714 53226 54440 55315 54202 53935 53959 52196 53989 55431 58670 62925 63027 62984 62402 58201 55637 56044 58524 57773 56554 57001 53553 50949 49772 48048 49744 50582 49397 49443 49348 50536 53079 55250 56047 60112 61729 65268 65113 63755 60499 58034 54127 49940 47971 48009 47516 49307 49753 51884 53794 55213 55695 58475 59572 61409 62973 65385 63414 64204
"8 years" "women" 37243 39935 43714 40758 41038 42867 47188 47848 47962 45182 47256 48593 49332 48774 49184 44934 40115 43949 44508 48529 46304 47315 46738 48139 48201 50271 48537 51042 49357 49586 50216 50495 52711 52390 53509 54357 53191 51769 52008 53869 52295 53380 53575 54559 54258 53856 55018 53931 56047 57164 57553 56280 56590 57648 57868 58290 59063 59865 57229 57603 57720 56402 55864 53305 53033 52979 51660 50838 60702 56931 52272 50623 49287 48029 46092 44290 44577 42308 43020 41709 41262 38996 39004 39311 41321 41903 43977 46136 45467 47589 54498 59674 63028 63111 63010 61292 60482 57815 54769 52451 52487 52518 50479 51561 51511 51887 50832 50545 49935 51136 52749 55311 60128 59816 59554 59011 55580 52535 53707 55602 55011 54123 54332 51291 48538 47099 45865 47520 48190 47284 46841 46523 47763 50075 52371 53829 56654 58422 62014 61253 60351 57963 55739 51206 47861 45507 45115 45254 46412 47097 49578 51183 52131 53099 55404 56272 57759 59410 61763 60057 60713
"9 years" "men" 39323 37654 39792 43640 41211 41016 42798 47122 48140 48061 44841 47373 49275 49185 48719 49725 45749 40058 44281 45490 48725 46934 47617 47002 48677 48879 50814 49009 51433 49544 50358 51029 51598 53596 53390 54371 55282 54084 52258 52564 55224 53633 55408 54913 56106 55495 56111 56806 55298 57131 58757 58560 57889 59013 58906 59981 60548 61237 62321 59780 59635 59648 58661 57624 54975 54997 54918 53585 53047 63035 58951 53949 52959 50987 49913 47620 45880 45931 43872 44065 43233 42621 40679 40680 41402 42821 43884 45836 47961 47485 49592 56943 62213 66511 66696 66273 64432 63225 60863 58354 55438 55536 55739 53258 54539 55428 54305 53949 53991 52470 54231 55414 58550 62763 63025 63053 62486 58321 55666 56043 58466 57731 56493 56956 53572 50987 49860 48195 49946 50943 49728 49708 49538 50926 53726 55332 56090 60211 61853 65406 65302 63980 60706 58274 54321 50044 48357 48396 47970 49726 50102 52202 54209 55908 56305 59189 60568 62365 63716 65919 63641
"9 years" "women" 38833 37052 39622 43424 40481 40737 42547 46938 47365 47314 44672 46922 48300 49019 48412 48866 44680 39804 43568 44108 47560 45758 46675 46249 47734 47819 49899 48080 50609 48987 48831 49786 50039 52273 52097 53257 54095 52915 51548 51751 53569 52008 53110 53310 54303 53985 53663 54787 53762 55875 56723 57305 56087 56394 57500 57697 58165 58899 59577 57071 57263 57567 56283 55702 53183 52901 52922 51540 50739 60618 56917 52138 50576 49331 47996 46122 44261 44529 42272 43009 41705 41250 38973 38988 39349 41448 42019 44275 46467 45483 47745 54377 59682 62988 63077 63064 61328 60559 57857 54752 52460 52550 52536 50497 51661 51631 52005 50858 50605 50200 51348 52712 55175 60045 59840 59675 59126 55676 52573 53753 55556 54998 54067 54278 51302 48599 47205 45991 47720 48513 47557 47092 46720 48090 50658 52462 53847 56757 58559 62139 61446 60525 58183 55952 51405 48037 45874 45491 45652 46851 47365 49846 51555 52791 53684 56038 57139 58612 60150 62249 60196
"10 years" "men" 39214 39134 37365 39535 43374 40915 40712 42554 46670 47494 47693 44514 47091 48977 48865 48414 49531 45461 39752 43959 45539 48146 46412 47169 46668 48314 48506 50362 48567 51047 49841 49935 50597 51151 53284 53121 54087 55042 53896 51965 53456 54929 53373 55083 54654 55865 55280 55935 56635 55109 57793 58538 58382 57687 58867 58709 59901 60425 60991 62127 60305 59482 59568 58503 57474 54828 54917 54850 53500 52958 63805 58931 53911 52950 50925 49884 47569 45815 45916 43838 44122 43225 42592 40677 40692 41495 42899 44141 46046 47969 47512 49479 56954 62154 66510 66720 66327 64535 63258 60842 58194 55492 55552 55752 53341 54644 55511 54313 53968 54237 52705 54224 55317 58469 62766 63135 63155 62582 58337 55675 56020 58405 57639 56444 57005 53608 51060 50023 48430 50306 51213 49942 49941 49872 51525 53850 55415 56233 60372 61972 65588 65488 64210 60944 58481 54481 50436 48776 48790 48339 50016 50400 52588 54901 56538 57076 60092 61423 63197 64233 66193
"10 years" "women" 39062 38644 36807 39369 43168 40218 40472 42315 46509 46775 47167 44374 46648 48030 48715 48121 48653 44404 39506 43252 44185 47040 45198 46249 45890 47409 47490 49474 47683 50245 48864 48436 49417 49665 52002 51854 52986 53863 52703 51298 52592 53278 51753 52834 53064 54019 53777 53475 54617 53574 56431 56498 57135 55923 56231 57358 57591 58017 58635 59428 57483 57118 57449 56133 55599 53049 52836 52843 51451 50646 61286 56824 52091 50624 49290 48017 46068 44212 44519 42264 42962 41697 41239 38971 39046 39455 41540 42286 44525 46492 45663 47652 54413 59661 62984 63131 63116 61402 60596 57852 54751 52516 52547 52574 50606 51808 51750 52039 50915 50858 50409 51350 52620 55087 60086 59953 59807 59181 55724 52582 53744 55520 54928 54061 54319 51389 48654 47330 46203 48015 48785 47740 47269 47047 48609 50745 52493 53935 56838 58685 62314 61652 60720 58413 56121 51557 48413 46243 45870 46035 47101 47615 50220 52180 53364 54402 56862 57936 59409 60664 62454
"11 years" "men" 40320 39031 38874 37149 39301 43107 40647 40503 42161 46093 47575 47367 44250 46799 48696 48610 48270 49269 45205 39469 43797 45031 47632 45987 46870 46353 47995 48047 49932 48207 50941 49440 49551 50183 50860 53052 52882 53904 54849 53684 52175 53212 54657 53076 54812 54377 55651 55093 55756 56470 55166 57575 58377 58174 57525 58702 58622 59736 60194 60840 62021 60146 59358 59416 58391 57312 54767 54858 54798 53421 52994 62877 58865 53839 52895 50894 49820 47492 45777 45884 43841 44078 43185 42567 40687 40777 41513 43104 44360 46077 48121 47552 49494 56911 62119 66537 66752 66422 64558 63244 60725 58235 55502 55559 55823 53453 54715 55592 54369 54217 54486 52742 54141 55261 58501 62840 63237 63284 62595 58339 55667 55977 58351 57619 56471 57039 53704 51245 50211 48756 50558 51481 50099 50273 50458 51619 53934 55559 56365 60506 62175 65854 65720 64393 61124 58658 54929 50878 49197 49239 48645 50332 50781 53319 55521 57224 57999 60983 62172 63762 64457
"11 years" "women" 40318 38891 38407 36609 39149 42935 39983 40261 41965 45992 46771 46893 44117 46431 47758 48446 47954 48413 44132 39232 43084 43712 46553 44805 45939 45616 47088 47116 49093 47324 50006 48476 48085 49034 49440 51774 51620 52755 53650 52472 51181 52360 53008 51483 52562 52803 53808 53571 53327 54447 53529 56244 56326 56981 55776 56089 57234 57470 57745 58473 59434 57320 57026 57317 56020 55456 52967 52767 52772 51379 50744 60464 56778 52159 50594 49274 47959 46017 44172 44521 42271 42952 41685 41249 38996 39189 39515 41831 42559 44566 46527 45509 47659 54373 59639 63013 63155 63177 61452 60570 57859 54799 52554 52563 52674 50711 51906 51808 52097 51135 51143 50440 51277 52563 55072 60217 60036 59879 59182 55723 52598 53714 55491 54926 54104 54381 51492 48766 47474 46481 48260 49010 47907 47564 47588 48701 50806 52570 54092 56948 58898 62561 61924 60898 58565 56266 51954 48787 46630 46236 46349 47407 48075 50890 52753 53989 55212 57688 58669 59892 60873
"12 years" "men" 36944 40163 38802 38682 36952 39083 42870 40435 40181 41661 45996 47286 47114 43986 46557 48464 48516 48042 49044 44939 39500 43338 44557 47217 45703 46579 46064 47625 47654 49582 48520 50530 49038 49185 49922 50639 52822 52695 53718 54598 53773 51941 52964 54373 52829 54569 54164 55478 54955 55586 56367 54987 57418 58206 58033 57377 58657 58492 59479 60048 60561 61863 60005 59224 59323 58221 57260 54715 54761 54712 53341 52819 62809 58767 53778 52793 50832 49754 47468 45764 45797 43800 44058 43166 42603 40809 40801 41760 43287 44364 46247 48040 47556 49446 56890 62125 66561 66804 66449 64551 63116 60756 58232 55503 55640 55949 53553 54729 55623 54612 54417 54497 52705 54076 55306 58580 63019 63334 63316 62578 58311 55656 55943 58336 57665 56530 57149 53830 51458 50499 48979 50790 51673 50405 50824 50536 51697 54074 55737 56490 60765 62407 66135 65920 64585 61303 59025 55344 51329 49596 49552 48971 50768 51412 53958 56218 58201 58927 61758 62750 64030
