"Population by age, sex and year"

"age" "sex" "1860" "1861" "1862" "1863" "1864" "1865" "1866" "1867" "1868" "1869" "1870" "1871" "1872" "1873" "1874" "1875" "1876" "1877" "1878" "1879" "1880" "1881" "1882" "1883" "1884" "1885" "1886" "1887" "1888" "1889" "1890" "1891" "1892" "1893" "1894" "1895" "1896" "1897" "1898" "1899" "1900" "1901" "1902" "1903" "1904" "1905" "1906" "1907" "1908" "1909" "1910" "1911" "1912" "1913" "1914" "1915" "1916" "1917" "1918" "1919" "1920" "1921" "1922" "1923" "1924" "1925" "1926" "1927" "1928" "1929" "1930" "1931" "1932" "1933" "1934" "1935" "1936" "1937" "1938" "1939" "1940" "1941" "1942" "1943" "1944" "1945" "1946" "1947" "1948" "1949" "1950" "1951" "1952" "1953" "1954" "1955" "1956" "1957" "1958" "1959" "1960" "1961" "1962" "1963" "1964" "1965" "1966" "1967" "1968" "1969" "1970" "1971" "1972" "1973" "1974" "1975" "1976" "1977" "1978" "1979" "1980" "1981" "1982" "1983" "1984" "1985" "1986" "1987" "1988" "1989" "1990" "1991" "1992" "1993" "1994" "1995" "1996" "1997" "1998" "1999" "2000" "2001" "2002" "2003" "2004" "2005" "2006" "2007" "2008" "2009" "2010" "2011" "2012" "2013" "2014" "2015" "2016" "2017" "2018" "2019" "2020"
"0 years" "men" 60589 59797 62371 61515 61931 60998 63036 58645 50882 53024 54338 59158 58539 60461 60280 61254 61964 63885 61540 64745 61119 61969 61897 61830 64718 63933 65071 65731 63885 61612 61899 63321 60832 62542 62189 64313 63431 63627 65504 63253 64689 66293 65701 63920 65194 64695 66011 66472 66778 68024 64911 64677 64459 63467 62608 59578 59300 58990 57558 56457 67040 62364 57043 55898 53284 52227 49996 47917 47835 45467 45512 44695 44042 42008 41997 42224 43922 44720 46445 48205 47338 49504 57063 62602 67740 67105 66576 64688 63499 61046 58162 55669 55756 55756 53175 54333 55113 53995 53618 53304 51513 52935 54228 57422 62050 62378 62766 61706 56854 54602 55466 57559 57702 55821 56142 52862 50402 49337 47585 49137 49623 48016 47658 47204 48140 50558 52177 53345 57645 59530 63526 63469 63013 59979 57173 53020 48505 46320 46011 45309 46764 47214 49275 51138 52037 52135 54684 55427 56528 57720 59496 57359 58309 58649 59584 59994 61005 59899 60032 59476 58485
"0 years" "women" 58837 58136 60041 59384 60100 59622 60874 56586 49389 51571 52295 57235 56177 58422 58266 59489 59698 61639 59375 62588 59630 59325 59607 59386 62266 61604 63058 63400 62062 59709 59936 61030 58848 59686 60066 61631 61088 60678 62342 60917 62601 63337 63500 61677 61884 62657 62906 63236 63833 64645 61617 61728 61860 60414 60086 57198 56606 56481 54757 53694 63784 59769 54713 52952 51169 49696 47893 45929 45902 43535 43970 42810 42282 39952 39945 39969 42083 42539 44403 46162 45156 47346 54267 59825 63883 63216 63151 61456 60720 57780 54594 52530 52549 52487 50251 51423 51245 51627 50480 49962 49231 50072 51536 53931 59184 59006 59105 58232 54035 51311 52800 54424 54514 52850 53146 50254 47854 46591 45395 46777 47165 45921 45067 44414 45490 47638 49495 51111 54247 56317 60478 59884 59569 57394 54811 50052 46478 43860 43223 43058 43950 44439 46751 48092 49053 49420 51594 52330 53136 54400 56414 54755 55178 55359 56296 55884 58018 56715 56807 55907 55104
"1 year" "men" 56001 54544 52933 55776 57346 57776 57017 59071 54103 46338 49490 51284 55772 55017 56291 55944 57282 57960 59775 57936 59803 57264 57878 58140 58325 61063 60387 61397 62318 60721 58004 58361 59972 57514 59410 59077 61014 60054 60749 61487 59360 61105 63018 62172 61119 62222 62098 63261 63624 64277 65094 62461 62349 62304 61427 60268 57677 57532 57155 55471 54684 65035 60739 55535 54297 52017 50966 48638 46690 46701 44420 44811 43908 43227 41352 41165 41514 43199 44088 45837 47509 46788 49044 56639 62147 66605 67662 66311 64520 63132 60775 58370 55479 55480 55559 53118 54273 55142 53946 53503 53373 51581 52880 54224 57631 62392 62529 62785 61812 58036 55662 55975 58138 57175 56044 56587 53396 50863 49622 47868 49484 49944 48233 47879 47478 48540 50965 52593 53779 58123 59978 63840 63809 63198 60098 57319 53175 48628 46514 46291 45641 47187 47631 49687 51460 52476 52730 55242 56162 57188 58366 60199 58059 59039 59489 60640 61352 62531 60973 60993 60058
"1 year" "women" 54833 53762 52282 54500 55823 56641 56263 57539 52519 45394 48486 49718 54474 53053 54866 54662 56002 56323 58095 56340 58476 56326 55805 56562 56450 59209 58650 60156 60492 59315 56755 57075 58251 55971 56962 57439 58780 58296 58200 58927 57549 59573 60627 60575 59281 59348 60448 60681 60869 61776 62218 59612 59805 60085 58715 58167 55577 55202 54903 53188 52189 62284 58437 53440 51749 50170 48743 46877 44924 45042 42763 43486 42203 41685 39496 39354 39461 41557 42086 43998 45709 44723 46980 53982 59499 62826 63840 62963 61332 60451 57656 54750 52368 52352 52342 50213 51374 51236 51582 50363 49979 49303 50074 51563 54085 59493 59161 59076 58367 55295 52429 53452 55060 54243 53349 53820 50921 48469 46969 45802 47165 47633 46206 45323 44752 45859 48058 50033 51558 54752 56804 60819 60231 59770 57472 54988 50196 46664 44201 43599 43589 44441 45055 47392 48821 49715 50183 52289 53001 53714 55057 57043 55393 55884 56083 57292 57216 59444 57789 57783 56533
"2 years" "men" 52502 54062 51613 50710 53743 55227 55696 55254 56706 51225 43834 48220 49968 54358 53202 54449 54155 55232 55963 57906 55474 57563 55070 55911 56486 56535 59367 58492 59693 60846 58691 56313 56250 58365 56262 58309 57875 59866 58938 59343 59980 58123 59849 61619 61130 60071 61349 61200 62391 62808 63214 64228 61636 61633 61648 60693 59601 57067 56819 56444 54777 54192 64465 60194 55017 53856 51617 50565 48195 46421 46265 44361 44624 43702 43011 41042 40962 41321 43034 43960 45636 47368 46682 48922 56549 61962 67144 66804 66332 64432 62987 60875 58296 55345 55427 55614 53157 54422 55130 53902 53523 53458 51594 52903 54443 57921 62591 62590 62615 62390 58616 55694 55793 58027 57311 56323 56893 53634 50940 49702 47969 49457 49907 48214 48020 47635 48828 51222 52937 54177 58522 60241 63944 64062 63472 60036 57348 53142 48735 46652 46503 45911 47449 47852 49910 51641 52925 53140 55789 56635 57606 58808 60713 58721 59807 60292 61817 62258 63361 61598 61348
"2 years" "women" 52048 53007 50988 50221 52641 53920 54842 54684 55219 49860 43300 47306 48570 53058 51413 53222 52957 54121 54404 56420 54055 56423 54253 54057 55022 54771 57665 57021 58540 59139 57274 55172 55161 56828 54862 55929 56398 57711 57325 56823 57590 56426 58381 59357 59575 58351 58525 59626 59880 60178 60762 61411 58892 59174 59471 58098 57587 55002 54532 54286 52626 51789 61810 57992 53004 51388 49854 48404 46528 44668 44779 42685 43315 42037 41558 39263 39205 39283 41456 41989 43861 45581 44656 46880 53980 59306 63371 63051 63032 61288 60430 57721 54733 52221 52298 52330 50252 51497 51270 51531 50417 50055 49328 50139 51763 54370 59680 59212 59040 58949 55826 52520 53322 54993 54435 53617 54184 51269 48547 47075 45832 47171 47609 46255 45387 44887 46067 48286 50248 51905 55090 57016 60875 60443 60075 57484 54976 50204 46785 44356 43801 43868 44731 45352 47715 49157 50166 50657 52823 53495 54111 55477 57511 55839 56582 56834 58348 58123 60164 58432 58077
"3 years" "men" 46373 51306 52185 52575 49187 52079 53617 54460 53516 54322 48700 42853 47327 49003 53071 51904 53105 52598 53768 54555 55720 53687 55830 53528 54608 55195 55275 57978 57251 58603 59130 57320 55053 55018 57391 55611 57619 57214 59149 58059 58373 59180 57398 59020 60923 60418 59602 60787 60712 61901 62041 62653 63738 61156 61253 61228 60393 59232 56514 56396 55892 54487 53955 64097 59884 54718 53632 51397 50366 48041 46197 46384 44285 44126 43609 42901 40921 40834 41232 42952 43854 45554 47288 46603 48877 56549 62092 66598 66856 66299 64267 63203 60845 58189 55345 55467 55652 53281 54432 55056 53867 53553 53477 51653 53086 54723 58116 62512 62722 63195 62877 58613 55498 55674 58104 57532 56500 57090 53710 51014 49729 47965 49426 49904 48285 48142 47783 48996 51491 53401 54508 58791 60443 64275 64791 63492 59983 57334 53185 48893 46902 46749 46190 47680 48059 50081 52057 53368 53638 56210 56944 57971 59270 61260 59395 60662 61378 62825 63030 63965 61826
"3 years" "women" 46036 50924 51213 51487 48774 51135 52495 53710 53014 52978 47384 42383 46494 47612 51852 50221 51989 51510 52680 53092 54433 52456 54752 52781 52848 53753 53632 56411 55798 57474 57664 56055 54074 54087 55957 54184 55245 55735 57120 56473 55916 56887 55669 57650 58721 58964 57821 58067 59217 59446 59604 60244 60967 58432 58818 59058 57791 57237 54485 54142 53817 52390 51565 61498 57697 52769 51169 49668 48210 46395 44502 44740 42594 42907 41945 41441 39176 39126 39223 41411 41932 43802 45530 44605 46873 54006 59520 62852 63133 62970 61176 60489 57703 54627 52202 52339 52371 50384 51521 51200 51554 50455 50056 49385 50296 52051 54553 59631 59391 59557 59416 55838 52321 53244 55075 54658 53852 54405 51356 48622 47132 45859 47173 47602 46284 45493 45090 46306 48538 50667 52247 55338 57202 61157 61028 60080 57414 54994 50270 46880 44555 44027 44131 44934 45484 47890 49522 50530 51118 53263 53710 54473 55905 58024 56429 57297 57775 59233 58792 60716 58644
"4 years" "men" 43321 45573 50016 51227 51418 47924 50927 52713 53231 51664 52116 47875 42184 46610 48066 52147 50871 51988 51498 52738 52640 54307 52291 54564 52469 53639 54232 54211 56997 56384 57327 58019 56305 54049 54254 56841 55087 57120 56732 58451 57280 57803 58554 56777 58535 60353 59970 59233 60435 60361 61217 61596 62282 63361 60844 60907 60968 60086 58748 56147 55796 55660 54280 53694 63822 59617 54515 53444 51248 50256 47888 46202 46332 44050 44029 43460 42801 40826 40774 41188 42842 43802 45501 47244 46595 48786 56675 62132 66605 66800 66089 64522 63157 60754 58158 55384 55516 55732 53273 54384 55103 53930 53553 53513 51798 53352 54877 58124 62522 63150 63522 62885 58247 55362 55737 58261 57718 56672 57133 53719 51080 49716 47952 49414 50005 48367 48313 48020 49278 51917 53796 54750 58980 60773 65005 64813 63405 59976 57403 53295 49080 47174 47047 46438 47877 48207 50472 52417 53870 54073 56519 57288 58372 59825 61909 60196 61840 62332 63640 63535 64163
"4 years" "women" 43001 45278 49605 50208 50369 47665 50119 51684 52553 51242 51066 46644 41768 45836 46715 50957 49287 50887 50440 51689 51354 53149 51096 53536 51780 51888 52865 52650 55513 54962 55925 56634 55140 53156 53397 55310 53656 54757 55231 56550 55789 55325 56326 55083 57164 58213 58557 57469 57746 58879 58840 59227 59879 60629 58105 58481 58835 57533 56814 54164 53666 53581 52208 51337 61281 57448 52609 50992 49542 48143 46252 44496 44695 42414 42853 41831 41386 39099 39078 39176 41358 41897 43745 45495 44624 46911 54111 59530 62961 63089 62779 61339 60485 57658 54586 52265 52414 52465 50417 51476 51295 51588 50464 50086 49536 50541 52201 54600 59674 59805 59997 59362 55548 52202 53255 55223 54842 54057 54445 51413 48657 47082 45787 47156 47660 46395 45662 45315 46568 48978 51016 52550 55518 57562 61786 61035 60010 57410 55029 50383 47065 44757 44239 44321 45142 45623 48250 49905 50917 51524 53565 53996 54873 56419 58583 57127 58292 58684 59910 59313 60838
