"Mean population (by year of birth) by region, age, sex and year"

"region","age","sex","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"00 Sweden","76 years","women",36657.5,35577.0,35319.0,33806.5,34209.5,34487.0,36203.5,36848.5,38662.5,39773.0,39299.5,41116.5,46124.0,50296.5,53476.5
"00 Sweden","77 years","men",27366.0,28115.5,27738.5,28122.0,27201.0,27574.5,28989.5,30259.5,31360.5,33028.0,34738.5,34971.0,36841.5,41964.5,45310.0
"00 Sweden","77 years","women",34908.0,35749.0,34713.5,34508.5,33027.0,33445.0,33690.5,35360.5,36035.0,37834.0,38925.5,38472.0,40247.0,45173.5,49231.5
"00 Sweden","78 years","men",26943.5,26102.5,26923.5,26567.0,26932.5,26095.5,26402.5,27903.0,29109.5,30172.5,31844.5,33479.0,33746.5,35586.0,40573.5
"00 Sweden","78 years","women",35343.0,33934.0,34749.5,33811.5,33612.5,32181.0,32581.5,32819.0,34478.0,35143.0,36920.0,37973.0,37518.5,39300.5,44095.0
"00 Sweden","79 years","men",24884.5,25627.5,24817.0,25657.0,25277.5,25670.5,24913.0,25230.0,26768.5,27862.0,28927.5,30554.0,32156.5,32454.0,34167.0
"00 Sweden","79 years","women",33571.0,34203.5,32889.0,33704.0,32819.5,32614.5,31271.0,31630.5,31893.5,33553.5,34145.0,35926.5,36938.5,36525.0,38206.0
"00 Sweden","80 years","men",23967.0,23450.0,24251.5,23494.0,24333.0,23932.5,24357.5,23686.0,24059.0,25523.5,26562.0,27643.0,29176.5,30770.0,31013.5
"00 Sweden","80 years","women",33210.5,32382.0,32986.5,31771.0,32584.5,31715.0,31513.0,30225.5,30649.0,30901.0,32517.0,33052.5,34821.5,35834.0,35422.0
"00 Sweden","81 years","men",22945.0,22475.5,21944.5,22789.0,22060.5,22965.5,22547.0,22995.5,22399.0,22786.5,24144.0,25215.5,26270.5,27749.0,29197.5
"00 Sweden","81 years","women",32728.5,31833.0,31056.5,31717.0,30547.5,31356.0,30508.0,30286.0,29121.0,29541.0,29801.0,31342.5,31887.0,33667.5,34567.5
"00 Sweden","82 years","men",21230.5,21281.0,20894.5,20414.5,21265.5,20584.0,21513.5,21128.0,21589.5,21067.5,21448.0,22729.5,23766.5,24787.0,26161.0
"00 Sweden","82 years","women",31577.0,31207.5,30373.0,29658.0,30331.0,29192.5,30019.0,29195.0,28985.0,27956.0,28307.0,28573.5,30060.5,30639.5,32338.5
"00 Sweden","83 years","men",20158.5,19520.0,19578.5,19305.5,18877.5,19710.5,19066.0,19979.5,19681.5,20102.5,19687.5,20020.0,21259.0,22274.5,23129.5
"00 Sweden","83 years","women",30097.0,29881.0,29537.5,28860.5,28169.0,28801.5,27698.0,28570.5,27813.5,27579.0,26652.5,26981.5,27245.5,28683.5,29210.5
"00 Sweden","84 years","men",17682.0,18398.0,17783.5,17864.0,17706.5,17279.5,18104.0,17505.5,18401.5,18197.0,18580.5,18205.5,18487.5,19696.5,20688.5
"00 Sweden","84 years","women",28395.0,28312.5,28063.5,27781.0,27213.5,26577.5,27156.5,26121.0,26990.5,26321.5,26055.0,25210.5,25553.0,25870.5,27183.5
"00 Sweden","85 years","men",16971.0,15885.5,16601.5,16042.5,16164.5,16012.0,15640.0,16442.0,15952.0,16744.0,16651.5,17019.0,16665.5,16969.5,17995.5
"00 Sweden","85 years","women",28525.0,26357.5,26393.0,26166.5,25962.5,25443.0,24860.5,25413.0,24474.5,25292.5,24699.5,24457.5,23657.0,24043.0,24314.0
"00 Sweden","86 years","men",15457.0,15062.5,14126.5,14796.5,14298.5,14494.0,14291.0,14013.5,14781.5,14364.5,15066.0,15043.0,15389.0,15148.0,15338.0
"00 Sweden","86 years","women",27377.0,26233.0,24198.0,24347.5,24178.0,24017.0,23530.0,23027.5,23560.0,22756.5,23486.5,22982.0,22759.0,22057.5,22372.5
"00 Sweden","87 years","men",11114.0,13480.0,13185.0,12401.0,13009.5,12571.0,12786.0,12662.0,12439.0,13112.0,12755.0,13388.0,13406.5,13752.0,13529.5
"00 Sweden","87 years","women",20392.5,24883.5,23882.5,22026.5,22236.0,22117.0,21949.0,21519.5,21153.0,21607.5,20944.0,21580.5,21182.0,20995.5,20369.0
"00 Sweden","88 years","men",9141.5,9586.5,11613.5,11364.0,10719.5,11282.0,10908.5,11094.0,11076.0,10876.0,11473.5,11170.5,11713.0,11815.5,12026.5
"00 Sweden","88 years","women",17931.5,18304.5,22278.5,21483.5,19830.5,20030.0,19930.5,19854.0,19501.5,19241.5,19579.0,18981.0,19597.0,19319.0,19095.0
"00 Sweden","89 years","men",7605.0,7702.0,8110.0,9814.5,9648.5,9124.5,9589.5,9320.0,9540.0,9498.0,9406.5,9874.5,9618.5,10129.5,10224.5
"00 Sweden","89 years","women",16009.5,15790.5,16162.0,19704.5,19052.5,17599.0,17736.0,17664.5,17755.5,17437.0,17305.5,17483.5,16940.5,17615.5,17270.5
"00 Sweden","90 years","men",6085.5,6275.0,6374.5,6750.0,8153.5,8078.5,7602.0,7986.5,7828.5,8047.0,7993.0,7939.0,8303.5,8145.5,8527.5
"00 Sweden","90 years","women",13545.0,13864.0,13610.5,14055.5,17187.5,16618.0,15334.5,15473.0,15495.0,15625.5,15307.5,15284.5,15336.5,14970.0,15544.0
"00 Sweden","91 years","men",4606.5,4899.5,5090.5,5172.5,5505.0,6644.0,6611.5,6199.0,6551.0,6458.5,6610.0,6585.0,6481.0,6862.5,6702.5
"00 Sweden","91 years","women",11243.0,11554.5,11776.5,11606.5,11979.0,14743.0,14247.0,13098.5,13336.5,13410.5,13445.0,13188.0,13222.0,13297.0,12983.5
"00 Sweden","92 years","men",3780.5,3626.5,3878.0,4056.5,4124.0,4364.5,5293.5,5223.5,4999.0,5233.5,5220.5,5278.0,5311.5,5251.5,5484.0
"00 Sweden","92 years","women",9486.0,9385.5,9603.5,9835.5,9745.5,10017.5,12377.5,11948.5,11033.0,11255.0,11359.0,11354.0,11181.5,11258.0,11324.5
"00 Sweden","93 years","men",2838.5,2909.0,2761.5,2984.0,3148.0,3202.0,3371.0,4125.0,4038.5,3919.5,4065.5,4101.0,4117.0,4203.0,4135.0
"00 Sweden","93 years","women",7657.0,7662.0,7643.5,7813.5,8084.0,7961.5,8215.0,10176.5,9808.0,9102.0,9269.5,9404.0,9402.5,9322.5,9332.0
"00 Sweden","94 years","men",1994.0,2086.0,2171.0,2033.5,2230.0,2385.0,2416.0,2535.0,3144.0,3087.5,2952.0,3100.5,3126.0,3166.0,3185.0
"00 Sweden","94 years","women",6104.0,6081.0,6066.0,6042.0,6214.5,6474.5,6296.0,6585.5,8200.0,7891.5,7303.0,7455.0,7624.5,7620.0,7532.0
"00 Sweden","95 years","men",1368.0,1464.0,1503.5,1563.0,1470.5,1630.0,1735.0,1757.0,1877.0,2330.0,2303.0,2158.5,2301.5,2319.5,2337.0
"00 Sweden","95 years","women",4469.0,4738.0,4702.0,4738.0,4664.0,4804.0,5031.5,4873.0,5169.5,6435.0,6199.5,5696.0,5825.0,6079.0,5999.5
"00 Sweden","96 years","men",948.0,949.0,1019.0,1073.5,1101.5,1040.5,1152.0,1220.0,1240.0,1354.0,1654.0,1636.0,1544.5,1654.0,1652.5
"00 Sweden","96 years","women",3244.5,3325.5,3542.0,3569.5,3607.0,3520.0,3615.0,3780.5,3737.0,3942.5,4901.5,4748.5,4321.5,4469.5,4686.5
"00 Sweden","97 years","men",628.0,667.0,634.0,686.0,728.5,762.5,699.0,786.5,851.5,857.0,911.5,1141.0,1113.0,1102.0,1142.0
"00 Sweden","97 years","women",2370.0,2339.5,2415.5,2583.0,2647.5,2683.5,2566.0,2639.0,2773.0,2770.0,2916.0,3615.0,3523.5,3217.0,3333.5
"00 Sweden","98 years","men",377.0,406.5,454.0,421.0,456.5,483.5,506.5,443.0,524.5,575.0,579.0,578.5,768.5,741.0,745.5
"00 Sweden","98 years","women",1612.5,1658.5,1636.5,1712.5,1857.0,1894.0,1923.5,1798.5,1879.5,1973.5,1961.5,2072.5,2577.5,2550.0,2339.5
"00 Sweden","99 years","men",238.0,246.0,262.0,287.0,268.0,297.0,317.0,331.5,272.0,336.5,373.5,375.5,354.0,492.5,470.0
"00 Sweden","99 years","women",1013.0,1116.0,1111.5,1102.5,1185.5,1295.5,1293.0,1303.0,1221.0,1304.0,1374.5,1322.5,1413.5,1796.5,1769.5
"00 Sweden","100+ years","men",294.5,311.0,324.0,346.0,354.5,364.5,391.0,410.0,442.5,421.5,451.5,490.5,501.0,500.5,583.0
"00 Sweden","100+ years","women",1563.0,1613.0,1722.5,1790.5,1836.5,1937.5,2052.0,2088.0,2124.0,2097.0,2145.0,2255.0,2240.0,2338.0,2672.0
