name,code,sex,age,ex_2015,ex_2019,ex_2020,ex_diff_1519,ex_diff_1920,ex_diff_1920_q025,ex_diff_1920_q975,ex_avgdiff_pre2020,ex_avgdiff_pre2020_q025,ex_avgdiff_pre2020_q975,rank_e0f19,rank_d0m20
Austria,AT,Female,0,83.82823771831568,84.31844489818384,83.64713015841352,0.49020717986816464,-0.6713147397703239,-0.8249819303682603,-0.5329016751568766,0.12255179496704116,0.08092036006071962,0.15994277332433465,21,20
Austria,AT,Female,10,74.11514771946855,74.58632997466246,73.90981084701487,0.4711822551939093,-0.6765191276475946,-0.8155390261658674,-0.5455677652962818,0.11779556379847733,0.07998508116880805,0.1528077430093372,21,20
Austria,AT,Female,20,64.18847527934487,64.65052850225732,63.992016278159774,0.462053222912445,-0.6585122240975423,-0.8049566566376001,-0.5278041514140674,0.11551330572811125,0.07969972175777026,0.14916658649501668,21,20
Austria,AT,Female,30,54.31624618740177,54.776940310205596,54.103549387392754,0.4606941228038295,-0.6733909228128425,-0.8033232998017985,-0.5478066021198815,0.11517353070095737,0.08027812725875103,0.14830370472522142,21,20
Austria,AT,Female,40,44.49983964298559,44.94548047013557,44.3037551301945,0.44564082714997966,-0.6417253399410683,-0.7666136884923804,-0.5222279320441382,0.11141020678749491,0.07862143564145413,0.14410356701932042,21,20
Austria,AT,Female,50,34.90269397300307,35.31754732214517,34.6677396143233,0.41485334914209915,-0.6498077078218643,-0.7725590255843264,-0.5389565629143622,0.10371333728552479,0.07196971931801635,0.1383506278721723,21,20
Austria,AT,Female,60,25.69693529105361,26.046852349180696,25.377732321935508,0.34991705812708673,-0.6691200272451887,-0.7894486704023582,-0.5532026141489333,0.08747926453177168,0.057862294483010855,0.11851189614544042,21,20
Austria,AT,Female,70,17.21389162058994,17.473634743396044,16.767867206934476,0.25974312280610334,-0.7057675364615683,-0.8141000932046709,-0.6010869094610793,0.06493578070152584,0.03799236857098354,0.09315948452681508,21,20
Austria,AT,Female,80,9.46237912441402,9.7830447122669,9.105109830355772,0.32066558785287924,-0.6779348819111277,-0.7816444862237346,-0.5874495127621271,0.08016639696321981,0.05449171713648483,0.10621237028173397,21,20
Austria,AT,Female,85,6.3865298762691936,6.377920764405358,5.798243725204472,-0.008609111863835395,-0.5796770392008863,-0.6964728087482862,-0.47473856125263797,-0.0021522779659588487,-0.029620170261624685,0.028305847897336617,21,20
Austria,AT,Male,0,79.18574899193943,80.07559681845514,79.26478754976068,0.8898478265157053,-0.8108092686944559,-0.9803404993364224,-0.6470824847960233,0.22246195662892632,0.1808982940506846,0.26853938166460645,21,20
Austria,AT,Male,10,69.52238621896667,70.40315399418728,69.56086381811895,0.8807677752206047,-0.8422901760683317,-1.0093968313779809,-0.6874689284665252,0.22019194380515117,0.17647560877861296,0.2602473635607183,21,20
Austria,AT,Male,20,59.680847888763914,60.544291755616435,59.694051809895754,0.8634438668525206,-0.8502399457206806,-1.0084807834022804,-0.6985481385170773,0.21586096671313015,0.17379784952484187,0.2571909879001483,21,20
Austria,AT,Male,30,49.98355003727981,50.816177780465274,49.94063688559738,0.8326277431854621,-0.8755408948678962,-1.0283827734146427,-0.7254467879908759,0.20815693579636552,0.16821366677694538,0.24791287025312725,21,20
Austria,AT,Male,40,40.32364094072908,41.1537128056063,40.263468693036735,0.830071864877219,-0.8902441125695617,-1.031959805988814,-0.7416978312843148,0.20751796621930474,0.16717065086788263,0.24477153122598216,21,20
Austria,AT,Male,50,30.938500876007517,31.737606102013572,30.84592119115166,0.7991052260060556,-0.8916849108619118,-1.0383221414232466,-0.7627965646830065,0.1997763065015139,0.1655045969182906,0.23416178907673613,21,20
Austria,AT,Male,60,22.261837282066818,22.89625579809204,22.05792633421899,0.6344185160252209,-0.8383294638730483,-0.9717515982339693,-0.703345113080983,0.15860462900630523,0.12178293795821182,0.1935315093138224,21,20
Austria,AT,Male,70,14.707633406608105,15.166477914998962,14.337244680851752,0.45884450839085744,-0.8292332341472104,-0.9584699446711684,-0.7079049731514655,0.11471112709771436,0.08249227487980312,0.1462579453742489,21,20
Austria,AT,Male,80,8.197253037269912,8.607628584164758,7.830925071714155,0.410375546894846,-0.7767035124506023,-0.9025027721166042,-0.6610162914568407,0.1025938867237115,0.06578099955318215,0.13622814864054053,21,20
Austria,AT,Male,85,5.71853951137041,5.756018850337383,5.168313705445658,0.037479338966972975,-0.587705144891725,-0.7388225020342458,-0.44452110678554624,0.009369834741743244,-0.028713248714826514,0.050155695535001196,21,20
Belgium,BE,Female,0,83.18619718814638,84.09786119400911,82.93123703169789,0.9116640058627326,-1.1666241623112228,-1.3079079461447538,-1.0315809621249075,0.22791600146568314,0.18963065857660177,0.26396984765488724,19,9
Belgium,BE,Female,10,73.50453999227331,74.41616289337328,73.22536030399657,0.9116229010999746,-1.190802589376716,-1.3272129052337207,-1.060188355103275,0.22790572527499364,0.19237219979135825,0.2618277854241463,19,9
Belgium,BE,Female,20,63.58882749847469,64.49056496965801,63.3151211902925,0.901737471183317,-1.1754437793655086,-1.3094456931123948,-1.0455671577149532,0.22543436779582926,0.1894981108577256,0.2580956459822611,19,9
Belgium,BE,Female,30,53.73148824353883,54.620446787902935,53.42666547532805,0.8889585443641081,-1.1937813125748846,-1.3179906801884855,-1.0743544497497384,0.22223963609102704,0.1847235266948802,0.25454749346644046,19,9
Belgium,BE,Female,40,43.95900190247383,44.82762177994332,43.636121233592434,0.8686198774694915,-1.1915005463508876,-1.3141530318284382,-1.0651015303195077,0.21715496936737289,0.18266565252671862,0.24967774862309527,19,9
Belgium,BE,Female,50,34.46160251708344,35.26953680084293,34.08932363927977,0.8079342837594865,-1.1802131615631595,-1.295348943281076,-1.0578752167349925,0.20198357093987163,0.17024661190720114,0.2342208897655321,19,9
Belgium,BE,Female,60,25.463407435556913,26.157831887622184,24.953189004083566,0.6944244520652703,-1.204642883538618,-1.3163264205692315,-1.091581106825258,0.17360611301631756,0.14356160074259344,0.2018361091372073,19,9
Belgium,BE,Female,70,17.11688285216336,17.735640262735135,16.506506866741315,0.6187574105717744,-1.22913339599382,-1.3335576647035248,-1.1183147574403278,0.1546893526429436,0.1263413145410195,0.18291992279370703,19,9
Belgium,BE,Female,80,9.604746126207889,10.235646870141935,9.034352107488765,0.6309007439340455,-1.2012947626531698,-1.2999252607063039,-1.106726650339966,0.15772518598351137,0.1323355646477149,0.18329160836684644,19,9
Belgium,BE,Female,85,6.564611584707981,7.083131015307243,5.92726557851017,0.5185194305992624,-1.1558654367970735,-1.25935350298255,-1.0372326048175315,0.1296298576498156,0.09954478273180112,0.1575313702420053,19,9
Belgium,BE,Male,0,78.61784679849279,79.7558076416104,78.59709908899737,1.137960843117611,-1.1587085526130352,-1.304188325742609,-1.0123888352674295,0.28449021077940273,0.24383915402743234,0.323601665860602,19,9
Belgium,BE,Male,10,68.97372172565244,70.1192744030579,68.89036269191682,1.1455526774054618,-1.2289117111410803,-1.358614833912882,-1.0835508098043642,0.28638816935136546,0.24941404358046249,0.3239717553513837,19,9
Belgium,BE,Male,20,59.09200370222938,60.23653157490242,58.98682446634445,1.144527872673045,-1.2497071085579705,-1.3722167202752762,-1.1105005668420205,0.28613196816826125,0.24906787309412304,0.32177720721244674,19,9
Belgium,BE,Male,30,49.42569764419612,50.53076096401407,49.26730869387664,1.1050633198179511,-1.263452270137428,-1.3829579583230078,-1.1290329596709667,0.2762658299544878,0.2392992519423933,0.31119205332432365,19,9
Belgium,BE,Male,40,39.83522707856,40.92759475119321,39.66019471203475,1.092367672633209,-1.26740003915846,-1.3836007893439222,-1.1341880471136991,0.27309191815830225,0.23977596229165052,0.3049976611220789,19,9
Belgium,BE,Male,50,30.521339486873476,31.581211731638653,30.30647688208221,1.0598722447651774,-1.2747348495564417,-1.3916858756677808,-1.1512897630067194,0.26496806119129435,0.23341413611735268,0.2975068626317853,19,9
Belgium,BE,Male,60,21.93758668407393,22.791668501328967,21.55799299112164,0.854081817255036,-1.233675510207327,-1.341550213749579,-1.1075341223375037,0.213520454313759,0.18397575560121768,0.24256322463495744,19,9
Belgium,BE,Male,70,14.478695275152727,15.08362899171302,13.910903998577293,0.6049337165602928,-1.172724993135727,-1.2656110245512466,-1.0622717759518427,0.1512334291400732,0.12367676737923611,0.17835027388473373,19,9
Belgium,BE,Male,80,8.16990229553295,8.726006716200851,7.5892935808157445,0.5561044206679018,-1.136713135385107,-1.2347450445995127,-1.0211170457195704,0.13902610516697544,0.11149657267086444,0.1662710655921728,19,9
Belgium,BE,Male,85,5.748716006652252,6.1515167800909385,5.048076398012315,0.4028007734386865,-1.1034403820786238,-1.220711835987726,-0.9766707530362277,0.10070019335967162,0.06902369282962889,0.1348199380285317,19,9
Bulgaria,BG,Female,0,77.88445578554654,78.58615076952495,77.29435973068506,0.7016949839784132,-1.2917910388398894,-1.461171551619746,-1.1125538622306794,0.1754237459946033,0.1313246998619321,0.2211154077429999,2,4
Bulgaria,BG,Female,10,68.52468717292999,69.13994859098014,67.73548180032645,0.615261418050153,-1.4044667906536858,-1.5571045349139143,-1.2459719197050454,0.15381535451253825,0.11661738538881217,0.19174152543624318,2,4
Bulgaria,BG,Female,20,58.66516481143214,59.272587026404366,57.86098553805783,0.6074222149722246,-1.411601488346534,-1.5591932800212258,-1.2634307217479068,0.15185555374305615,0.11211859193360944,0.18904849739290747,2,4
Bulgaria,BG,Female,30,48.87884218037865,49.466191276621075,48.05995405515551,0.587349096242427,-1.4062372214655667,-1.5465028079343779,-1.2613788776886954,0.14683727406060676,0.11236079469189911,0.18104205306410437,2,4
Bulgaria,BG,Female,40,39.22537844822409,39.80893539356349,38.39198298860164,0.5835569453393958,-1.4169524049618474,-1.5528132748907697,-1.273808677396763,0.14588923633484896,0.10929098789222497,0.17892937876231318,2,4
Bulgaria,BG,Female,50,30.00127666336555,30.527408142654888,29.183570333952126,0.5261314792893366,-1.3438378087027623,-1.4669086767712933,-1.2095076113677177,0.13153286982233414,0.09938755031327737,0.16468021186094625,2,4
Bulgaria,BG,Female,60,21.35539438775472,21.833699281814017,20.707566982313658,0.47830489405929555,-1.1261322995003589,-1.2418505171845298,-1.0206502579566314,0.11957622351482389,0.09214332936908731,0.14889159417744185,2,4
Bulgaria,BG,Female,70,13.376099561923953,13.977996242979385,13.188064392396472,0.6018966810554325,-0.7899318505829136,-0.883044023023221,-0.704989280682986,0.15047417026385812,0.12705700066985673,0.17426697665202218,2,4
Bulgaria,BG,Female,80,6.727346853938519,7.289983528552962,6.825080172298181,0.5626366746144429,-0.46490335625478085,-0.5504214103090704,-0.38176357850120474,0.14065916865361072,0.11956581608785308,0.16070985472637034,2,4
Bulgaria,BG,Female,85,4.248271775216418,4.829926038950303,4.27168906807928,0.5816542637338848,-0.5582369708710226,-0.6477144235484629,-0.45080969989862885,0.1454135659334712,0.11847630929219047,0.1679510997116096,2,4
Bulgaria,BG,Male,0,71.0885883326086,71.54679566962436,69.94473705185798,0.45820733701576444,-1.6020586177663745,-1.7895811241513218,-1.409715117228025,0.11455183425394111,0.06573808498469794,0.1628292273597605,2,4
Bulgaria,BG,Male,10,61.779282278009156,62.08015158262427,60.4036474872154,0.3008693046151123,-1.6765040954088661,-1.8506068815273753,-1.511711005499736,0.07521732615377807,0.03141917553672373,0.11898395084602376,2,4
Bulgaria,BG,Male,20,52.02025483581921,52.32440339956087,50.59485230674549,0.30414856374166277,-1.7295510928153845,-1.8996103795388584,-1.5655448100472693,0.07603714093541569,0.03747972828191863,0.11678482034469581,2,4
Bulgaria,BG,Male,30,42.459410315275164,42.76111618394619,40.99502384171425,0.30170586867102855,-1.7660923422319428,-1.9179773810863865,-1.611255963779523,0.07542646716775714,0.03763916213501841,0.11550265002327506,2,4
Bulgaria,BG,Male,40,33.080930472075224,33.389894875711,31.65249225149432,0.3089644036357768,-1.7374026242166813,-1.8800483849564418,-1.5956566366540734,0.0772411009089442,0.04175229701717793,0.11518223388224418,2,4
Bulgaria,BG,Male,50,24.36302845745589,24.67495269043834,23.02885548770455,0.31192423298244876,-1.6460972027337881,-1.7739546957117902,-1.5141423776305212,0.07798105824561219,0.04377907571700641,0.1125659631427392,2,4
Bulgaria,BG,Male,60,16.96524477101433,17.20458971419298,15.802873820686344,0.23934494317865074,-1.401715893506637,-1.5199739904370047,-1.2857159068159987,0.059836235794662684,0.03389815366620401,0.08999550140691218,2,4
Bulgaria,BG,Male,70,10.963870648581475,11.361389756212684,10.123018598525782,0.3975191076312097,-1.2383711576869025,-1.328821789773504,-1.1506686699527153,0.09937977690780242,0.07399727770383097,0.12432899931513217,2,4
Bulgaria,BG,Male,80,5.964067833170836,6.455950706157316,5.644602609009267,0.4918828729864799,-0.8113480971480493,-0.9086449937045418,-0.7151769379436864,0.12297071824661998,0.0969383720042577,0.14915090345012214,2,4
Bulgaria,BG,Male,85,3.9050832203134886,4.538079481929162,3.692340045586159,0.6329962616156735,-0.8457394363430031,-0.958238028018406,-0.7301912843211594,0.15824906540391837,0.1256480530535828,0.18924886282378478,2,4
Switzerland,CH,Female,0,84.8673097200806,85.61062609041073,84.96417200984185,0.7433163703301346,-0.646454080568887,-0.7898396248258536,-0.47694705388607195,0.18582909258253366,0.14696666763089672,0.23152923576184753,29,14
Switzerland,CH,Female,10,75.219186352591,75.92378307651298,75.279634893174,0.7045967239219806,-0.6441481833389702,-0.7722792212394772,-0.4855531539691832,0.17614918098049515,0.138297072633838,0.21308352585742735,29,14
Switzerland,CH,Female,20,65.29216778669978,65.98038270975658,65.34797288530669,0.6882149230568047,-0.6324098244498941,-0.7591539888047848,-0.47497593442752517,0.17205373076420116,0.1340834570424419,0.20994690040669572,29,14
Switzerland,CH,Female,30,55.37626324393521,56.0820556307783,55.44510249376792,0.7057923868430862,-0.63695313701038,-0.7649718727362751,-0.4807000371264103,0.17644809671077155,0.13956399663218688,0.2130527600803694,29,14
Switzerland,CH,Female,40,45.5333287800528,46.218735626557766,45.58968377998293,0.6854068465049679,-0.6290518465748391,-0.7574240752519389,-0.4763987825631224,0.17135171162624196,0.13453137149464736,0.20907359101384937,29,14
Switzerland,CH,Female,50,35.842977063224865,36.51165500266134,35.891668634311586,0.6686779394364777,-0.6199863683497568,-0.7451645493547625,-0.4770823252264047,0.16716948485911942,0.1321430860227873,0.20358510002163205,29,14
Switzerland,CH,Female,60,26.540827260927067,27.09903175561839,26.454710113640367,0.5582044946913243,-0.6443216419780242,-0.7617901710900687,-0.5080169815596804,0.13955112367283107,0.10604363131834546,0.17194368883983419,29,14
Switzerland,CH,Female,70,17.74127292831281,18.24723817502481,17.544702975230873,0.5059652467119982,-0.7025351997939353,-0.8275630733024951,-0.5709167472122161,0.12649131167799954,0.09172137699707975,0.15817612467987952,29,14
Switzerland,CH,Female,80,9.810979033841623,10.269456452553595,9.531915654380436,0.458477418711972,-0.7375407981731588,-0.8541921084322017,-0.6187023687221956,0.114619354677993,0.08241900544564003,0.14380895856406906,29,14
Switzerland,CH,Female,85,6.484504894970139,6.886078392994555,6.074000346360759,0.40157349802441544,-0.812078046633796,-0.9344528941951737,-0.6872480826093692,0.10039337450610386,0.06887315402102921,0.1382873311231726,29,14
Switzerland,CH,Male,0,80.77597575229022,82.1721846614442,81.19790102149902,1.3962089091539838,-0.9742836399451846,-1.1423615692637052,-0.8075641395608182,0.34905222728849594,0.30385294299801197,0.39117669513119513,29,14
Switzerland,CH,Male,10,71.21088498408533,72.5040932333735,71.57218305212798,1.2932082492881705,-0.9319101812455131,-1.0940098657263597,-0.7859884143522035,0.3233020623220426,0.28519813622789725,0.36354548905689,29,14
Switzerland,CH,Male,20,61.327815949811196,62.60584334098715,61.691173420670786,1.2780273911759537,-0.9146699203163635,-1.070507718729427,-0.7616604524709706,0.3195068477939884,0.28177926307251483,0.3589442306153495,29,14
Switzerland,CH,Male,30,51.60019850926166,52.84853331051408,51.95534003912719,1.248334801252419,-0.8931932713868918,-1.045508182585992,-0.7595446897051903,0.31208370031310473,0.2736643353652849,0.35104122360746526,29,14
Switzerland,CH,Male,40,41.863257939298,43.090721028050424,42.2084528756663,1.2274630887524225,-0.8822681523841212,-1.0367715256439574,-0.7489058273037078,0.3068657721881056,0.2674984048603013,0.3458389085353676,29,14
