code,sex,year,age,ex,ex_diff,ex_diff_1519,ex_2015,ex_2019,ex_2020,name,code_hmd,rank_e0f19,rank_d0m20,avg_ex_diff_1519
AT,Female,2020,0,83.64713015841352,-0.6713147397703239,0.49020717986816464,83.82823771831568,84.31844489818384,83.64713015841352,Austria,AUT,20,17,0.12255179496704116
AT,Female,2020,1,82.76283470931902,-0.650267936472261,0.44710929015371903,82.96599335563756,83.41310264579128,82.76283470931902,Austria,AUT,20,17,0.11177732253842976
AT,Female,2020,2,81.82446933986647,-0.6479406292422567,0.43880758031137646,82.03360238879735,82.47240996910872,81.82446933986647,Austria,AUT,20,17,0.10970189507784411
AT,Female,2020,3,80.85783667750395,-0.6520157592691049,0.4423756079731902,81.06747682879987,81.50985243677306,80.85783667750395,Austria,AUT,20,17,0.11059390199329755
AT,Female,2020,4,79.87651352128654,-0.6574424262385179,0.4487350086257038,80.08522093889935,80.53395594752506,79.87651352128654,Austria,AUT,20,17,0.11218375215642595
AT,Female,2020,5,78.88754997692158,-0.6624833031799824,0.45485610034889135,79.09517717975267,79.55003328010156,78.88754997692158,Austria,AUT,20,17,0.11371402508722284
AT,Female,2020,6,77.89456903691199,-0.6666388626002231,0.4598781165241519,78.10132978298806,78.56120789951221,77.89456903691199,Austria,AUT,20,17,0.11496952913103797
AT,Female,2020,7,76.89947905338218,-0.6699645535664445,0.46383534972703444,77.10560825722159,77.56944360694862,76.89947905338218,Austria,AUT,20,17,0.11595883743175861
AT,Female,2020,8,75.9033074427072,-0.6726260969943212,0.4669367500338808,76.10899678966764,76.57593353970152,75.9033074427072,Austria,AUT,20,17,0.1167341875084702
AT,Female,2020,9,74.90661975565904,-0.6747850410767455,0.4693409129747863,75.112063883761,75.58140479673578,74.90661975565904,Austria,AUT,20,17,0.11733522824369658
AT,Female,2020,10,73.90981084701487,-0.6765191276475946,0.4711822551939093,74.11514771946855,74.58632997466246,73.90981084701487,Austria,AUT,20,17,0.11779556379847733
AT,Female,2020,11,72.91321191144834,-0.6778290319700204,0.47251222968880313,73.11852871372956,73.59104094341836,72.91321191144834,Austria,AUT,20,17,0.11812805742220078
AT,Female,2020,12,71.91712356242772,-0.6786384323140595,0.473298563111868,72.12246343162991,72.59576199474178,71.91712356242772,Austria,AUT,20,17,0.118324640777967
AT,Female,2020,13,70.92187484331545,-0.6787926325351208,0.4735048685381287,71.12716260731244,71.60066747585057,70.92187484331545,Austria,AUT,20,17,0.11837621713453217
AT,Female,2020,14,69.9278643804241,-0.6780387501663228,0.4730774041171344,70.13282572647329,70.60590313059042,69.9278643804241,Austria,AUT,20,17,0.1182693510292836
AT,Female,2020,15,68.93546797311551,-0.6761347840567709,0.47204269343971816,69.13956006373256,69.61160275717228,68.93546797311551,Austria,AUT,20,17,0.11801067335992954
AT,Female,2020,16,67.94489332418057,-0.6729711520948456,0.4704587188229965,68.14740575745242,68.61786447627541,67.94489332418057,Austria,AUT,20,17,0.11761467970574913
AT,Female,2020,17,66.95595093170118,-0.6688658287001488,0.4684150543542671,67.15640170604706,67.62481676040133,66.95595093170118,Austria,AUT,20,17,0.11710376358856678
AT,Female,2020,18,65.9680549230774,-0.6644791833513324,0.46613957419467056,66.16639453223407,66.63253410642874,65.9680549230774,Austria,AUT,20,17,0.11653489354866764
AT,Female,2020,19,64.98031727112834,-0.6607685639730221,0.4639355830145462,65.17715025208682,65.64108583510136,64.98031727112834,Austria,AUT,20,17,0.11598389575363655
AT,Female,2020,20,63.992016278159774,-0.6585122240975423,0.462053222912445,64.18847527934487,64.65052850225732,63.992016278159774,Austria,AUT,20,17,0.11551330572811125
AT,Female,2020,21,63.00278609535242,-0.6581050752672581,0.4606082338925148,63.20028293672716,63.66089117061968,63.00278609535242,Austria,AUT,20,17,0.1151520584731287
AT,Female,2020,22,62.012730252012076,-0.6593468186188574,0.45967282240525975,62.212404248225674,62.672077070630934,62.012730252012076,Austria,AUT,20,17,0.11491820560131494
AT,Female,2020,23,61.022145036973946,-0.6617119127846394,0.4590554471697601,61.224801502588825,61.683856949758585,61.022145036973946,Austria,AUT,20,17,0.11476386179244003
AT,Female,2020,24,60.03138848686641,-0.6647008313404612,0.4585804822523869,60.237508835954486,60.69608931820687,60.03138848686641,Austria,AUT,20,17,0.11464512056309673
AT,Female,2020,25,59.040918899232274,-0.6677978294829146,0.4582217712552037,59.250494957459985,59.70871672871519,59.040918899232274,Austria,AUT,20,17,0.11455544281380092
AT,Female,2020,26,58.05119607189448,-0.6704257728652934,0.45801098433400966,58.263610860425764,58.721621844759774,58.05119607189448,Austria,AUT,20,17,0.11450274608350242
AT,Female,2020,27,57.062461423886546,-0.6723633419449939,0.4580153796496731,57.27680938618187,57.73482476583154,57.062461423886546,Austria,AUT,20,17,0.11450384491241827
AT,Female,2020,28,56.07492040487545,-0.6735264791740363,0.4584403925301501,56.290006491519335,56.748446884049486,56.07492040487545,Austria,AUT,20,17,0.11461009813253753
AT,Female,2020,29,55.088646384947694,-0.6738728409847141,0.4593716948348501,55.30314753109756,55.76251922593241,55.088646384947694,Austria,AUT,20,17,0.11484292370871252
AT,Female,2020,30,54.103549387392754,-0.6733909228128425,0.4606941228038295,54.31624618740177,54.776940310205596,54.103549387392754,Austria,AUT,20,17,0.11517353070095737
AT,Female,2020,31,53.11935008292291,-0.672346042875418,0.46226219664636403,53.32943392915196,53.791696125798325,53.11935008292291,Austria,AUT,20,17,0.11556554916159101
AT,Female,2020,32,52.135927761243096,-0.6707943870409068,0.46391509908659856,52.342807049197404,52.806722148284,52.135927761243096,Austria,AUT,20,17,0.11597877477164964
AT,Female,2020,33,51.153264416082266,-0.668680295785812,0.4652662473978566,51.35667846447022,51.82194471186808,51.153264416082266,Austria,AUT,20,17,0.11631656184946415
AT,Female,2020,34,50.17137502394676,-0.6660083250854285,0.46587173119788616,50.3715116178343,50.83738334903219,50.17137502394676,Austria,AUT,20,17,0.11646793279947154
AT,Female,2020,35,49.19041189263983,-0.6627530934089023,0.4654123631108362,49.387752622937896,49.85316498604873,49.19041189263983,Austria,AUT,20,17,0.11635309077770906
AT,Female,2020,36,48.21055911002153,-0.6588056195206917,0.4636674486308294,48.40569728091139,48.86936472954222,48.21055911002153,Austria,AUT,20,17,0.11591686215770736
AT,Female,2020,37,47.231801294578474,-0.6544746888311579,0.4604761234765036,47.42579985993313,47.88627598340963,47.231801294578474,Austria,AUT,20,17,0.1151190308691259
AT,Female,2020,38,46.25428080805667,-0.6500690454126783,0.4561062847113888,46.44824356875796,46.90434985346935,46.25428080805667,Austria,AUT,20,17,0.1140265711778472
AT,Female,2020,39,45.278221934006346,-0.6457765959447599,0.45106431176001394,45.47293421819109,45.923998529951106,45.278221934006346,Austria,AUT,20,17,0.11276607794000348
AT,Female,2020,40,44.3037551301945,-0.6417253399410683,0.44564082714997966,44.49983964298559,44.94548047013557,44.3037551301945,Austria,AUT,20,17,0.11141020678749491
AT,Female,2020,41,43.33082943232511,-0.6384170743799942,0.4398807044829809,43.529365802222124,43.969246506705105,43.33082943232511,Austria,AUT,20,17,0.10997017612074522
AT,Female,2020,42,42.35967726048653,-0.6358186843503688,0.43367136109892357,42.56182458373797,42.9954959448369,42.35967726048653,Austria,AUT,20,17,0.10841784027473089
AT,Female,2020,43,41.39034370127034,-0.6338508453001879,0.4270969304015111,41.597097616169016,42.02419454657053,41.39034370127034,Austria,AUT,20,17,0.10677423260037777
AT,Female,2020,44,40.42267674250462,-0.6328009363042071,0.42064080754278166,40.634836871266046,41.05547767880883,40.42267674250462,Austria,AUT,20,17,0.10516020188569541
AT,Female,2020,45,39.45677058160671,-0.6332684350095974,0.4153386272047115,39.6747003894116,40.09003901661631,39.45677058160671,Austria,AUT,20,17,0.10383465680117787
AT,Female,2020,46,38.49330498220681,-0.6351718923820471,0.4119934102795071,38.71648346430935,39.128476874588856,38.49330498220681,Austria,AUT,20,17,0.10299835256987677
AT,Female,2020,47,37.532792244283186,-0.6380380746199492,0.41098118908965375,37.75984912981348,38.170830318903135,37.532792244283186,Austria,AUT,20,17,0.10274529727241344
AT,Female,2020,48,36.57522804526696,-0.6415171190341269,0.4117657873495517,36.804979376951536,37.21674516430109,36.57522804526696,Austria,AUT,20,17,0.10294144683738793
AT,Female,2020,49,35.6202872183326,-0.6454781193489296,0.4133453030110701,35.85242003467046,36.26576533768153,35.6202872183326,Austria,AUT,20,17,0.10333632575276752
AT,Female,2020,50,34.6677396143233,-0.6498077078218643,0.41485334914209915,34.90269397300307,35.31754732214517,34.6677396143233,Austria,AUT,20,17,0.10371333728552479
AT,Female,2020,51,33.717620240673675,-0.6540396449513182,0.41565430647786883,33.956005579147124,34.37165988562499,33.717620240673675,Austria,AUT,20,17,0.10391357661946721
AT,Female,2020,52,32.76994147188994,-0.6584707070577878,0.41554832064014846,33.01286385830758,33.42841217894773,32.76994147188994,Austria,AUT,20,17,0.10388708016003712
AT,Female,2020,53,31.825472690498085,-0.6632242720153734,0.4144754327664941,32.074221529746964,32.48869696251346,31.825472690498085,Austria,AUT,20,17,0.10361885819162353
AT,Female,2020,54,30.88549447095972,-0.6678625669398173,0.41213638602435765,31.14122065187518,31.553357037899538,30.88549447095972,Austria,AUT,20,17,0.10303409650608941
AT,Female,2020,55,29.95117996248759,-0.6714254059062199,0.40761603337603347,30.214989335017776,30.62260536839381,29.95117996248759,Austria,AUT,20,17,0.10190400834400837
AT,Female,2020,56,29.02298941081782,-0.6737169680659605,0.40041102484630287,29.29629535403748,29.696706378883782,29.02298941081782,Austria,AUT,20,17,0.10010275621157572
AT,Female,2020,57,28.101278370646877,-0.6747098975216481,0.3906997951095583,28.385288473058967,28.775988268168526,28.101278370646877,Austria,AUT,20,17,0.09767494877738958
AT,Female,2020,58,27.186414013835996,-0.6742882185587824,0.3787809218006082,27.48192131059417,27.86070223239478,27.186414013835996,Austria,AUT,20,17,0.09469523045015205
AT,Female,2020,59,26.27857709207883,-0.6724014582398219,0.3650256541736745,26.585952896144978,26.950978550318652,26.27857709207883,Austria,AUT,20,17,0.09125641354341862
AT,Female,2020,60,25.377732321935508,-0.6691200272451887,0.34991705812708673,25.69693529105361,26.046852349180696,25.377732321935508,Austria,AUT,20,17,0.08747926453177168
AT,Female,2020,61,24.48356195697597,-0.6649507534506114,0.3338624818450775,24.814650228581502,25.14851271042658,24.48356195697597,Austria,AUT,20,17,0.08346562046126937
AT,Female,2020,62,23.595659624925528,-0.6611815748116854,0.3169354729138014,23.93990572682341,24.256841199737213,23.595659624925528,Austria,AUT,20,17,0.07923386822845035
AT,Female,2020,63,22.71412704289755,-0.659226678004309,0.3007696467924603,23.0725840741094,23.37335372090186,22.71412704289755,Austria,AUT,20,17,0.07519241169811508
AT,Female,2020,64,21.839516138622113,-0.6601601129246113,0.2879058526209768,22.211770398925747,22.499676251546724,21.839516138622113,Austria,AUT,20,17,0.0719764631552442
AT,Female,2020,65,20.972464433116368,-0.6647618670343718,0.2799233079856194,21.35730299216512,21.63722630015074,20.972464433116368,Austria,AUT,20,17,0.06998082699640484
